ID_Venta;ID_Estacion_Origen;ID_Estacion_Destino;Forma_Pago;Importe;ID_Pasajero;ID_Servicio
1;1359;622;Tarjeta Credito 6 Pagos;15000;187;3
2;321;31;Efectivo;40000;465;4
3;1286;1304;Tarjeta Credito 1 Pago;25000;1849;4
4;932;1219;Tarjeta Debito;40000;1119;5
5;754;205;Tarjeta Credito 1 Pago;40000;936;4
6;544;775;Tarjeta Credito 6 Pagos;60000;1438;3
7;13;355;Tarjeta Credito 6 Pagos;60000;1666;4
8;1290;836;Tarjeta Debito;60000;1846;4
9;947;1081;Tarjeta Credito 12 Pagos;75000;1202;5
10;1299;1404;Tarjeta Debito;75000;1539;3
11;291;294;Tarjeta Debito;15000;827;2
12;1197;584;Tarjeta Credito 1 Pago;75000;1184;5
13;373;473;Tarjeta Debito;25000;1112;5
14;503;1330;Tarjeta Credito 12 Pagos;60000;470;5
15;7;15;Efectivo;75000;1933;5
16;436;931;Tarjeta Credito 6 Pagos;15000;1755;3
17;123;1181;Tarjeta Credito 6 Pagos;40000;996;3
18;208;339;Tarjeta Credito 1 Pago;25000;93;3
19;1410;18;Tarjeta Credito 1 Pago;40000;948;3
20;887;478;Tarjeta Credito 12 Pagos;75000;1559;4
21;514;841;Tarjeta Credito 12 Pagos;60000;922;5
22;822;420;Tarjeta Debito;60000;1572;5
23;958;206;Tarjeta Credito 1 Pago;60000;1982;2
24;720;334;Tarjeta Debito;40000;1223;4
25;358;359;Tarjeta Credito 6 Pagos;15000;835;2
26;864;1202;Tarjeta Credito 6 Pagos;25000;141;1
27;218;1264;Efectivo;75000;1870;1
28;3;971;Tarjeta Debito;60000;1785;2
29;260;1344;Tarjeta Credito 6 Pagos;25000;1788;5
30;472;1223;Tarjeta Credito 12 Pagos;75000;1434;3
31;753;756;Tarjeta Credito 12 Pagos;15000;937;1
32;408;822;Tarjeta Credito 6 Pagos;75000;1362;2
33;1394;1360;Tarjeta Credito 1 Pago;25000;1077;3
34;530;649;Tarjeta Credito 6 Pagos;40000;1720;5
35;1317;1414;Efectivo;60000;1713;4
36;497;1257;Tarjeta Credito 6 Pagos;60000;1077;2
37;678;303;Tarjeta Credito 6 Pagos;75000;1789;2
38;1040;824;Efectivo;25000;672;5
39;973;545;Tarjeta Credito 1 Pago;15000;1595;5
40;1162;244;Tarjeta Credito 6 Pagos;25000;1310;1
41;1113;1186;Efectivo;40000;1043;1
42;631;152;Tarjeta Credito 1 Pago;75000;1645;1
43;1398;1265;Tarjeta Credito 6 Pagos;15000;27;3
44;152;58;Tarjeta Credito 12 Pagos;15000;1724;3
45;9;153;Efectivo;75000;1438;4
46;1184;990;Efectivo;75000;1742;1
47;130;315;Tarjeta Debito;75000;86;2
48;1157;1385;Tarjeta Credito 1 Pago;15000;684;1
49;1177;642;Efectivo;40000;809;4
50;328;1287;Tarjeta Debito;40000;1106;4
51;237;1323;Tarjeta Credito 12 Pagos;15000;1294;2
52;831;584;Tarjeta Credito 12 Pagos;60000;1430;1
53;1240;584;Tarjeta Credito 1 Pago;25000;238;1
54;1036;625;Efectivo;25000;196;3
55;807;892;Tarjeta Credito 1 Pago;75000;1888;3
56;1094;1249;Tarjeta Debito;15000;1531;1
57;770;923;Tarjeta Credito 6 Pagos;25000;402;1
58;1147;732;Tarjeta Credito 6 Pagos;15000;1428;2
59;963;24;Tarjeta Credito 1 Pago;75000;584;2
60;1372;714;Tarjeta Credito 1 Pago;40000;1888;2
61;1305;218;Tarjeta Credito 12 Pagos;25000;252;4
62;66;1334;Tarjeta Credito 6 Pagos;75000;1502;4
63;458;768;Tarjeta Credito 12 Pagos;40000;1581;2
64;733;837;Tarjeta Credito 1 Pago;25000;854;5
65;1199;325;Efectivo;25000;1388;1
66;1183;923;Tarjeta Credito 1 Pago;75000;1284;2
67;809;649;Tarjeta Debito;60000;210;3
68;1364;117;Tarjeta Credito 1 Pago;75000;1152;1
69;1128;640;Tarjeta Credito 6 Pagos;60000;289;2
70;800;424;Tarjeta Debito;25000;764;1
71;944;11;Tarjeta Credito 1 Pago;60000;1650;4
72;271;468;Tarjeta Credito 6 Pagos;75000;503;1
73;258;576;Efectivo;75000;290;4
74;369;1202;Tarjeta Credito 6 Pagos;25000;353;4
75;463;836;Tarjeta Debito;40000;59;4
76;1247;314;Tarjeta Credito 12 Pagos;75000;566;3
77;1085;429;Efectivo;40000;468;4
78;1147;1135;Efectivo;60000;391;3
79;859;56;Tarjeta Credito 12 Pagos;25000;1614;2
80;608;1409;Tarjeta Credito 1 Pago;60000;1208;4
81;248;945;Tarjeta Credito 6 Pagos;40000;1045;4
82;1335;419;Efectivo;60000;1108;5
83;513;958;Efectivo;75000;369;1
84;196;936;Tarjeta Debito;60000;1120;3
85;433;511;Tarjeta Credito 1 Pago;75000;930;4
86;755;80;Tarjeta Credito 6 Pagos;75000;1947;1
87;693;700;Efectivo;15000;1946;2
88;160;321;Efectivo;15000;1830;3
89;1187;126;Tarjeta Debito;40000;1626;1
90;1286;91;Tarjeta Debito;40000;1594;1
91;1136;174;Tarjeta Credito 6 Pagos;25000;360;2
92;188;1080;Tarjeta Credito 12 Pagos;75000;435;3
93;1176;384;Tarjeta Debito;25000;315;1
94;356;1009;Tarjeta Credito 6 Pagos;60000;227;2
95;30;477;Tarjeta Debito;60000;1149;4
96;740;19;Tarjeta Credito 1 Pago;15000;1662;3
97;1057;790;Tarjeta Debito;60000;1229;4
98;859;292;Tarjeta Credito 1 Pago;25000;1142;1
99;576;293;Tarjeta Credito 1 Pago;25000;54;1
100;3;13;Tarjeta Debito;15000;647;4
101;1163;1250;Efectivo;75000;1722;1
102;675;1306;Efectivo;15000;307;1
103;755;162;Efectivo;75000;1317;1
104;37;584;Tarjeta Credito 6 Pagos;25000;148;2
105;1009;606;Tarjeta Credito 12 Pagos;15000;1952;1
106;381;1390;Tarjeta Debito;15000;383;5
107;1281;308;Tarjeta Debito;75000;876;2
108;362;739;Tarjeta Credito 6 Pagos;15000;486;5
109;323;834;Tarjeta Debito;40000;709;5
110;498;477;Tarjeta Debito;75000;1737;1
111;368;69;Efectivo;60000;154;3
112;144;1138;Tarjeta Debito;60000;762;5
113;84;51;Tarjeta Credito 6 Pagos;25000;1219;5
114;524;1170;Tarjeta Debito;15000;954;3
115;321;1155;Tarjeta Credito 6 Pagos;25000;909;1
116;542;647;Tarjeta Credito 12 Pagos;25000;815;1
117;1271;1357;Tarjeta Credito 6 Pagos;15000;263;4
118;1417;1127;Efectivo;75000;892;4
119;376;1330;Tarjeta Credito 6 Pagos;25000;1792;4
120;648;1033;Efectivo;60000;1255;5
121;302;272;Tarjeta Credito 6 Pagos;25000;1794;1
122;1200;602;Tarjeta Credito 1 Pago;60000;1883;2
123;754;900;Tarjeta Credito 6 Pagos;60000;660;5
124;1321;829;Tarjeta Debito;15000;75;3
125;512;1133;Tarjeta Debito;75000;758;5
126;43;381;Tarjeta Credito 1 Pago;75000;1050;4
127;1060;982;Tarjeta Credito 6 Pagos;75000;1131;5
128;860;946;Tarjeta Debito;40000;59;4
129;768;1236;Tarjeta Credito 12 Pagos;15000;339;4
130;1202;480;Tarjeta Debito;40000;1708;5
131;1403;177;Tarjeta Credito 6 Pagos;75000;510;1
132;219;12;Tarjeta Credito 12 Pagos;15000;1148;2
133;70;59;Tarjeta Credito 1 Pago;40000;1215;4
134;547;390;Tarjeta Credito 6 Pagos;15000;1160;4
135;647;401;Tarjeta Credito 1 Pago;15000;804;3
136;502;120;Tarjeta Debito;15000;1909;5
